Year,Race,County,Rep,Dem,Iap,Ipn,npp,oth
2014,SD12,,Hardy,,N/A,N/A,N/A,N/A
2014,SD12,Percent,100,N/A,,,,
2014,SD12,Total Votes,"28,657",N/A,,,,
2014,SD12,Carson City,N/A,N/A,,,,
2014,SD12,Churchill,N/A,N/A,,,,
2014,SD12,Clark,"28,675",N/A,,,,
2014,SD12,Douglas,N/A,N/A,,,,
2014,SD12,Elko,N/A,N/A,,,,
2014,SD12,Esmeralda,N/A,N/A,,,,
2014,SD12,Eureka,N/A,N/A,,,,
2014,SD12,Humboldt,N/A,N/A,,,,
2014,SD12,Lander,N/A,N/A,,,,
2014,SD12,Lincoln,N/A,N/A,,,,
2014,SD12,Lyon,N/A,N/A,,,,
2014,SD12,Mineral,N/A,N/A,,,,
2014,SD12,Nye,N/A,N/A,,,,
2014,SD12,Pershing,N/A,N/A,,,,
2014,SD12,Storey,N/A,N/A,,,,
2014,SD12,Washoe,N/A,N/A,,,,
2014,SD12,White Pine,N/A,N/A,,,,
