Year,Race,County,Rep,Dem,Iap,Ipn,npp,oth
2014,SD14,,Gustavson,Hunt,N/A,N/A,N/A,N/A
2014,SD14,Percent,70.04,29.96,,,,
2014,SD14,Total Votes,"24,994","10,690",,,,
2014,SD14,Carson City,N/A,N/A,,,,
2014,SD14,Churchill,N/A,N/A,,,,
2014,SD14,Clark,N/A,N/A,,,,
2014,SD14,Douglas,N/A,N/A,,,,
2014,SD14,Elko,N/A,N/A,,,,
2014,SD14,Esmeralda,268,75,,,,
2014,SD14,Eureka,N/A,N/A,,,,
2014,SD14,Humboldt,"3,280",949,,,,
2014,SD14,Lander,"1,385",350,,,,
2014,SD14,Lincoln,N/A,N/A,,,,
2014,SD14,Lyon,N/A,N/A,,,,
2014,SD14,Mineral,831,497,,,,
2014,SD14,Nye,622,196,,,,
2014,SD14,Pershing,"1,103",398,,,,
2014,SD14,Storey,N/A,N/A,,,,
2014,SD14,Washoe,"17,505","8,225",,,,
2014,SD14,White Pine,N/A,N/A,,,,
