Year,Race,County,Rep,Dem,Iap,Ipn,npp,oth
2014,SD20,,Roberson,Lowry,N/A,N/A,N/A,N/A
2014,SD20,Percent,60.4,39.6,,,,
2014,SD20,Total Votes,"16,715","10,959",,,,
2014,SD20,Carson City,N/A,N/A,,,,
2014,SD20,Churchill,N/A,N/A,,,,
2014,SD20,Clark,"16,715","10,959",,,,
2014,SD20,Douglas,N/A,N/A,,,,
2014,SD20,Elko,N/A,N/A,,,,
2014,SD20,Esmeralda,N/A,N/A,,,,
2014,SD20,Eureka,N/A,N/A,,,,
2014,SD20,Humboldt,N/A,N/A,,,,
2014,SD20,Lander,N/A,N/A,,,,
2014,SD20,Lincoln,N/A,N/A,,,,
2014,SD20,Lyon,N/A,N/A,,,,
2014,SD20,Mineral,N/A,N/A,,,,
2014,SD20,Nye,N/A,N/A,,,,
2014,SD20,Pershing,N/A,N/A,,,,
2014,SD20,Storey,N/A,N/A,,,,
2014,SD20,Washoe,N/A,N/A,,,,
2014,SD20,White Pine,N/A,N/A,,,,
