Year,Race,County,Rep,Dem,Iap,Ipn,npp,oth
2014,SD13,,Koziol,Smith,N/A,N/A,N/A,N/A
2014,SD13,Percent,39.45,60.55,,,,
2014,SD13,Total Votes,"8,432","12,943",,,,
2014,SD13,Carson City,N/A,N/A,,,,
2014,SD13,Churchill,N/A,N/A,,,,
2014,SD13,Clark,N/A,N/A,,,,
2014,SD13,Douglas,N/A,N/A,,,,
2014,SD13,Elko,N/A,N/A,,,,
2014,SD13,Esmeralda,N/A,N/A,,,,
2014,SD13,Eureka,N/A,N/A,,,,
2014,SD13,Humboldt,N/A,N/A,,,,
2014,SD13,Lander,N/A,N/A,,,,
2014,SD13,Lincoln,N/A,N/A,,,,
2014,SD13,Lyon,N/A,N/A,,,,
2014,SD13,Mineral,N/A,N/A,,,,
2014,SD13,Nye,N/A,N/A,,,,
2014,SD13,Pershing,N/A,N/A,,,,
2014,SD13,Storey,N/A,N/A,,,,
2014,SD13,Washoe,"8,432","12,943",,,,
2014,SD13,White Pine,N/A,N/A,,,,
