Year,Race,County,Rep,Dem,Iap,Ipn,npp,oth
2014,SD16,,Kieckhefer,Kelly,Everhart,N/A,N/A,N/A
2014,SD16,Percent,64.92,28.66,6.42,,,
2014,SD16,Total Votes,"27,225","12,021","2,691",,,
2014,SD16,Carson City,"9,485","4,540","2,691",,,
2014,SD16,Churchill,N/A,N/A,N/A,,,
2014,SD16,Clark,N/A,N/A,N/A,,,
2014,SD16,Douglas,N/A,N/A,N/A,,,
2014,SD16,Elko,N/A,N/A,N/A,,,
2014,SD16,Esmeralda,N/A,N/A,N/A,,,
2014,SD16,Eureka,N/A,N/A,N/A,,,
2014,SD16,Humboldt,N/A,N/A,N/A,,,
2014,SD16,Lander,N/A,N/A,N/A,,,
2014,SD16,Lincoln,N/A,N/A,N/A,,,
2014,SD16,Lyon,N/A,N/A,N/A,,,
2014,SD16,Mineral,N/A,N/A,N/A,,,
2014,SD16,Nye,N/A,N/A,N/A,,,
2014,SD16,Pershing,N/A,N/A,N/A,,,
2014,SD16,Storey,N/A,N/A,N/A,,,
2014,SD16,Washoe,"17,740","7,481","1,424",,,
2014,SD16,White Pine,N/A,N/A,N/A,,,
