Year,Race,County,Rep,Dem,Iap,Ipn,npp,oth
2014,SD9,,Harris,Jones,N/A,N/A,N/A,N/A
2014,SD9,Percent,55.22,44.78,,,,
2014,SD9,Total Votes,"12,475","10,116",,,,
2014,SD9,Carson City,N/A,N/A,,,,
2014,SD9,Churchill,N/A,N/A,,,,
2014,SD9,Clark,"12,475","10,116",,,,
2014,SD9,Douglas,N/A,N/A,,,,
2014,SD9,Elko,N/A,N/A,,,,
2014,SD9,Esmeralda,N/A,N/A,,,,
2014,SD9,Eureka,N/A,N/A,,,,
2014,SD9,Humboldt,N/A,N/A,,,,
2014,SD9,Lander,N/A,N/A,,,,
2014,SD9,Lincoln,N/A,N/A,,,,
2014,SD9,Lyon,N/A,N/A,,,,
2014,SD9,Mineral,N/A,N/A,,,,
2014,SD9,Nye,N/A,N/A,,,,
2014,SD9,Pershing,N/A,N/A,,,,
2014,SD9,Storey,N/A,N/A,,,,
2014,SD9,Washoe,N/A,N/A,,,,
2014,SD9,White Pine,N/A,N/A,,,,
