Year,Race,County,Rep,Dem,Iap,Ipn,npp,oth
2014,SD10,,,Kihuen,N/A,N/A,N/A,Uehling
2014,SD10,Percent,N/A,64.87,,,,35.13
2014,SD10,Total Votes,N/A,"8,143",,,,"4,409"
2014,SD10,Carson City,N/A,N/A,,,,N/A
2014,SD10,Churchill,N/A,N/A,,,,N/A
2014,SD10,Clark,N/A,"8,143",,,,"4,409"
2014,SD10,Douglas,N/A,N/A,,,,N/A
2014,SD10,Elko,N/A,N/A,,,,N/A
2014,SD10,Esmeralda,N/A,N/A,,,,N/A
2014,SD10,Eureka,N/A,N/A,,,,N/A
2014,SD10,Humboldt,N/A,N/A,,,,N/A
2014,SD10,Lander,N/A,N/A,,,,N/A
2014,SD10,Lincoln,N/A,N/A,,,,N/A
2014,SD10,Lyon,N/A,N/A,,,,N/A
2014,SD10,Mineral,N/A,N/A,,,,N/A
2014,SD10,Nye,N/A,N/A,,,,N/A
2014,SD10,Pershing,N/A,N/A,,,,N/A
2014,SD10,Storey,N/A,N/A,,,,N/A
2014,SD10,Washoe,N/A,N/A,,,,N/A
2014,SD10,White Pine,N/A,N/A,,,,N/A
