Year,Race,County,Rep,Dem,Iap,Ipn,npp,oth
2014,SD21,,McGinnis ,Manendo,N/A,N/A,N/A,N/A
2014,SD21,Percent,46.46,53.54,,,,
2014,SD21,Total Votes,"8,328","9,597",,,,
2014,SD21,Carson City,N/A,N/A,,,,
2014,SD21,Churchill,N/A,N/A,,,,
2014,SD21,Clark,"8,328","9,597",,,,
2014,SD21,Douglas,N/A,N/A,,,,
2014,SD21,Elko,N/A,N/A,,,,
2014,SD21,Esmeralda,N/A,N/A,,,,
2014,SD21,Eureka,N/A,N/A,,,,
2014,SD21,Humboldt,N/A,N/A,,,,
2014,SD21,Lander,N/A,N/A,,,,
2014,SD21,Lincoln,N/A,N/A,,,,
2014,SD21,Lyon,N/A,N/A,,,,
2014,SD21,Mineral,N/A,N/A,,,,
2014,SD21,Nye,N/A,N/A,,,,
2014,SD21,Pershing,N/A,N/A,,,,
2014,SD21,Storey,N/A,N/A,,,,
2014,SD21,Washoe,N/A,N/A,,,,
2014,SD21,White Pine,N/A,N/A,,,,
