YEAR,RACE,DEM,REP,IAP,LPN,NPP,OTH
2020,SD1,Patricia  Spearman,N/A,N/A,N/A,N/A,N/A
2020,SD1,"51,648",N/A,N/A,N/A,N/A,N/A
2020,SD3,Christopher Brooks,N/A,N/A,N/A,N/A,N/A
2020,SD3,"30,944",N/A,N/A,N/A,N/A,N/A
2020,SD4,Dina Neal,Esper Hickman,N/A,N/A,N/A,N/A
2020,SD4,"31,417","10,322",N/A,N/A,N/A,N/A
2020,SD5,Kristee Watson,Carrie Buck,N/A,Tim Hagan,N/A,N/A
2020,SD5,"32,411","32,740",N/A,N/A,N/A,N/A
